fees,duration,duration_name,country_name
"NZ$25,000 plus NZ$240",1 year,1 - 2 years,New Zealand
"NZ$20,400 plus NZ$240",40 weeks full-time,0 - 1 year,New Zealand
"NZ$20,400 plus NZ$240",40 weeks including six weeks of study break,0 - 1 year,New Zealand
"NZ$20,400 plus NZ$240",40 weeks full-time,0 - 1 year,New Zealand
"NZ$20,400 plus NZ$240",40 weeks including six weeks of study break,0 - 1 year,New Zealand
400 plus NZ$240,1 Year,1 - 2 years,New Zealand
"NZ$30,000.00 plus NZ$240.00",2 years,2 - 3 years,New Zealand
"NZ$25,000 plus NZ$240/ year",3 Years,3 - 4 years,New Zealand
"NZ$25,000 plus NZ$240",3 Years(full time&part time),3 - 4 years,New Zealand
"NZ$25,000 plus NZ$240",1 year,1 - 2 years,New Zealand
"NZ$25,000 plus NZ$240",3 Years,3 - 4 years,New Zealand
"NZ$25,000 plus NZ$246",1 year,1 - 2 years,New Zealand
"NZ$28,000 plus NZ$240 / Year",3 years,3 - 4 years,New Zealand
"NZ$25,000 plus NZ$240",3 years,3 - 4 years,New Zealand
"NZ$20,400 plus NZ$240/ Year",4 years,More than 4 years,New Zealand
"NZ$25,000 plus NZ$246",3 years,3 - 4 years,New Zealand
"NZ$32,500.00 plus NZ$240.00",1 year,1 - 2 years,New Zealand
"NZ$40,000 (for 1.5 years)",51 teaching weeks and up to 8 weeks of study breaks (1.5 years),1 - 2 years,New Zealand
"NZ$ 25,000",1 year full-time,1 - 2 years,New Zealand
"NZ$ 25,000",1 year full-time,1 - 2 years,New Zealand
"NZ$ 12,000","19 weeks, full-time",0 - 1 year,New Zealand
"NZ$ 25,000","1 year, full-time",1 - 2 years,New Zealand
"NZ$ 25,000",1 year full-time,1 - 2 years,New Zealand
"NZ$ 25,000",1 year fill-time,1 - 2 years,New Zealand
"NZ$ 25,000.00",1 year full-time,1 - 2 years,New Zealand
"NZ$ 25,000.00",1 year full-time,1 - 2 years,New Zealand
"NZ$ 25,000.00",1 year full-time,1 - 2 years,New Zealand
"NZ$ 25,000.00",1 year full-time,1 - 2 years,New Zealand
"NZ$ 25,000.00",18 Months full-time,1 - 2 years,New Zealand
"NZ$ 25,000.00",1 year full-time,1 - 2 years,New Zealand
"NZ$ 25,000.00",1 year part-time (36 weeks),1 - 2 years,New Zealand
"NZ$ 25,000.00",1 year full-time,1 - 2 years,New Zealand
"NZ$ 25,000.00",2 years full-time,2 - 3 years,New Zealand
"NZ$ 25,000.00",1 year full-time,1 - 2 years,New Zealand
"NZ$ 25,000.00",1 year full-time,1 - 2 years,New Zealand
"NZ$ 25,000.00",1 year full-time,1 - 2 years,New Zealand
"NZ$ 25,000.00",2 years full-time,2 - 3 years,New Zealand
"NZ$ 25,000.00",2 years full-time,2 - 3 years,New Zealand
"NZ$ 25,000.00","1 year, full-time 
",1 - 2 years,New Zealand
"NZ$ 25,000.00",3 years full-time,3 - 4 years,New Zealand
"NZ$ 25,000.00",1 year full-time,1 - 2 years,New Zealand
"NZ$ 25,000.00",1 year full-time,1 - 2 years,New Zealand
"NZ$ 25,000.00",1 year full-time,1 - 2 years,New Zealand
"NZ$ 25,000.00",1 year full-time,1 - 2 years,New Zealand
"NZ$ 25,000.00",1 year full-time,1 - 2 years,New Zealand
"NZ$ 25,000.00",3 year full-time,3 - 4 years,New Zealand
"NZ$ 25,000.00",3 year full-time,3 - 4 years,New Zealand
"NZ$ 25,000.00",1 year full-time,1 - 2 years,New Zealand
"NZ$ 25,000.00",1 year full-time,1 - 2 years,New Zealand
"NZ$ 25,000.00","3 years, full-time",3 - 4 years,New Zealand
"NZ$ 25,000.00","3 years, full-time",3 - 4 years,New Zealand
"NZ$ 32,500","1 year, full-time",1 - 2 years,New Zealand
"NZ$ 32,500","18 months, full-time",1 - 2 years,New Zealand
"NZ$ 25,000.00","3 years, full-time",3 - 4 years,New Zealand
"NZ$ 25,000.00","3 years, full-time",3 - 4 years,New Zealand
"NZ$25,000 plus NZ$300",3 Year,3 - 4 years,New Zealand
"NZ$25,000 plus NZ$300",1 Year,1 - 2 years,New Zealand
NZ$25000,1 Year,1 - 2 years,New Zealand
NZ$25000,1 Year,1 - 2 years,New Zealand
NZ$25000,1 Year,1 - 2 years,New Zealand
NZ$25000,1 year,1 - 2 years,New Zealand
NZ$25000,2 Years,2 - 3 years,New Zealand
NZ$25000,2 Years,2 - 3 years,New Zealand
NZ$25000,1 Year,1 - 2 years,New Zealand
NZ$41667,1 Year,1 - 2 years,New Zealand
NZ$25000,4 Years (Part time),More than 4 years,New Zealand
NZ$25000,1 Year,1 - 2 years,New Zealand
NZ$18750,29 Weeks,0 - 1 year,New Zealand
NZ$25000,1 Year,1 - 2 years,New Zealand
NZ$25000,1 Semester,0 - 1 year,New Zealand
NZ$25000,1 Year,1 - 2 years,New Zealand
NZ$25000,1 Year,1 - 2 years,New Zealand
NZ$25000,1 Year,1 - 2 years,New Zealand
NZ$25000 per year,3 Years,3 - 4 years,New Zealand
NZ$25000 per year,3 Years,3 - 4 years,New Zealand
NZ$32725,3 Years,3 - 4 years,New Zealand
"NZ$$ 27,500 - 55,000",2 Years,2 - 3 years,New Zealand
NZ$25000,2 Years,2 - 3 years,New Zealand
NZ$25000,2 Years,2 - 3 years,New Zealand
NZ$27500,1 Year,1 - 2 years,New Zealand
NZ$27500,1 Year,1 - 2 years,New Zealand
NZ$27500,1 Year,1 - 2 years,New Zealand
NZ$12500,1 Semester,0 - 1 year,New Zealand
NZ$25000,1 Year,1 - 2 years,New Zealand
NZ$25000,2 Years,2 - 3 years,New Zealand
NZ$25000,3 Years,3 - 4 years,New Zealand
NZ$25000,2 Years,2 - 3 years,New Zealand
NZ$25000,1 Year,1 - 2 years,New Zealand
NZ$25000,3 Years,3 - 4 years,New Zealand
NZ$25000,1 Semester,0 - 1 year,New Zealand
NZ$25000,3 Years,3 - 4 years,New Zealand
NZ$25000,1 Year,1 - 2 years,New Zealand
NZ$25000,1 Year,1 - 2 years,New Zealand
NZ$25000,1 Year,1 - 2 years,New Zealand
NZ$25000,1 Year,1 - 2 years,New Zealand
NZ$25000,34 Weeks,0 - 1 year,New Zealand
NZ$28000,2 Years,2 - 3 years,New Zealand
NZ$28000,2 Years,2 - 3 years,New Zealand
NZ$28000,2 Years,2 - 3 years,New Zealand
NZ$8000,1 Semester,0 - 1 year,New Zealand
NZ$8000,1 Semester,0 - 1 year,New Zealand
NZ$25000,3 Years,3 - 4 years,New Zealand
NZ$To be Confirmed,3 Years,3 - 4 years,New Zealand
NZ$38750,1.5 Years,1 - 2 years,New Zealand
NZ$25000,1 Year,1 - 2 years,New Zealand
NZ$25000,1 Year,1 - 2 years,New Zealand
NZ$25000,1 Year,1 - 2 years,New Zealand
NZ$25000,1 Year,1 - 2 years,New Zealand
NZ$272 - NZ$2368,1 Week,0 - 1 year,New Zealand
NZ$To be Confirmed,27 Weeks,0 - 1 year,New Zealand
NZ$28000,3 Years,3 - 4 years,New Zealand
NZ$25000,1 Year,1 - 2 years,New Zealand
NZ$ 25000,1 Year,1 - 2 years,New Zealand
NZ$14584,18 Weeks,0 - 1 year,New Zealand
NZ$14584,1 Semester,0 - 1 year,New Zealand
NZ$12500,1 Semester,0 - 1 year,New Zealand
NZ$25000,1.5 Years,1 - 2 years,New Zealand
NZ$25000,1 Year,1 - 2 years,New Zealand
NZ$25000,1 Year,1 - 2 years,New Zealand
NZ$To be Confirmed,1 Year (part time),1 - 2 years,New Zealand
NZ$15625,1 Year (part time),1 - 2 years,New Zealand
NZ$18750,1 Year (part time),1 - 2 years,New Zealand
NZ$25000,1 Year,1 - 2 years,New Zealand
NZ$2084,6 Weeks,0 - 1 year,New Zealand
NZ$25000,1 Year,1 - 2 years,New Zealand
NZ$10448,12 Weeks,0 - 1 year,New Zealand
NZ$38750,1.5 Years,1 - 2 years,New Zealand
NZ$27500,1 Year,1 - 2 years,New Zealand
NZ$25000,4 Years,More than 4 years,New Zealand
NZ$To be Confirmed,3 Years,3 - 4 years,New Zealand
NZ$25000,1 Year,1 - 2 years,New Zealand
NZ$25000,1 Year,1 - 2 years,New Zealand
NZ$25000,2 Years,2 - 3 years,New Zealand
NZ$25000,3 Years,3 - 4 years,New Zealand
NZ$38750,1.5 Years,1 - 2 years,New Zealand
NZ$38750,1.5 Years,1 - 2 years,New Zealand
NZ$25000,1 Year,1 - 2 years,New Zealand
NZ$27500,1 Year,1 - 2 years,New Zealand
NZ$25000,1 Year,1 - 2 years,New Zealand
NZ$43000,1 Year,1 - 2 years,New Zealand
"
NZ$25,000",3 Year,3 - 4 years,New Zealand
"
NZ$25,000",3 Years,3 - 4 years,New Zealand
"
NZ$25,000",3 Year,3 - 4 years,New Zealand
"
NZ$25,000",1 Year,1 - 2 years,New Zealand
"
NZ$25,000",1 Year,1 - 2 years,New Zealand
"
NZ$25,000",1 Year,1 - 2 years,New Zealand
"NZ$25,570",1 Year,1 - 2 years,New Zealand
"NZ$32,500",1 Year,1 - 2 years,New Zealand
"
NZ$25,000",1 Year,1 - 2 years,New Zealand
"
NZ$25,000",1 Year,1 - 2 years,New Zealand
"
NZ$25,000",2 Year,2 - 3 years,New Zealand
"NZ$22,000",2 Year,2 - 3 years,New Zealand
"
NZ$25,000",3 Years,3 - 4 years,New Zealand
"
NZ$25,000",1 Year,1 - 2 years,New Zealand
"
NZ$30,000",2 Years,2 - 3 years,New Zealand
"NZ$30,000 
",2 Years,2 - 3 years,New Zealand
"
NZ$25,000",3 Year,3 - 4 years,New Zealand
"
NZ$35,000",1 Year,1 - 2 years,New Zealand
"
NZ$25,000",1 year,1 - 2 years,New Zealand
"
NZ$25,000",1 Year,1 - 2 years,New Zealand
"
NZ$25,000",1 year,1 - 2 years,New Zealand
"NZ$25,000",18 months,1 - 2 years,New Zealand
"
NZ$25,000",3 years,3 - 4 years,New Zealand
"NZ$32,867 per 120 credits",1.5 years(18 months),1 - 2 years,New Zealand
"NZ$32,867 per 120 credits",1.5 years(18 months),1 - 2 years,New Zealand
"NZ$32,867 per 120 credits",1.5 years(18 months),1 - 2 years,New Zealand
"NZ$32,867 per 120 credits",2 years,2 - 3 years,New Zealand
"NZ$32,867 per 120 credits",1.5 years(18 months),1 - 2 years,New Zealand
"NZ$32,877 per 120 credits",1.5 years(18 months),1 - 2 years,New Zealand
not open for international students,1.5 years(18 months),1 - 2 years,New Zealand
"NZ$32,867 per 120 credits","1,5 years(18 months)",1 - 2 years,New Zealand
"NZ$32,867 per 120 credits",18 months,1 - 2 years,New Zealand
"NZ$32,867",1 year,1 - 2 years,New Zealand
"NZ$32,867",1 year,1 - 2 years,New Zealand
"NZ$32,867",1 year,1 - 2 years,New Zealand
"NZ$25,367",1 year,1 - 2 years,New Zealand
"NZ$25,377 *",1 year,1 - 2 years,New Zealand
"NZ$25,367",1 year,1 - 2 years,New Zealand
"NZ$25,367",1 year,1 - 2 years,New Zealand
"NZ$25,367",1 year,1 - 2 years,New Zealand
"NZ$25,000",3 years,3 - 4 years,New Zealand
"NZ$25,367",3 years,3 - 4 years,New Zealand
"NZ$25,367",4 years,More than 4 years,New Zealand
"NZ$25,367",3 years,3 - 4 years,New Zealand
"NZ$25,367",3 years,3 - 4 years,New Zealand
"NZ$25,367",3 years,3 - 4 years,New Zealand
"NZ$28,367",3 years,3 - 4 years,New Zealand
"NZ$25,367",4 years,More than 4 years,New Zealand
"NZ$25,367",3 years,3 - 4 years,New Zealand
"NZ$30,000",3 years,3 - 4 years,New Zealand
"NZ$30,000",3 years,3 - 4 years,New Zealand
"NZ$25,367",3 years,3 - 4 years,New Zealand
"NZ$25,000",3 years,3 - 4 years,New Zealand
"NZ$25,000",3 years,3 - 4 years,New Zealand
"NZ$25,000",3 years,3 - 4 years,New Zealand
"NZ$25,367",3 years,3 - 4 years,New Zealand
"NZ$25,367",3 years,3 - 4 years,New Zealand
"NZ$25,367",3 years,3 - 4 years,New Zealand
"NZ$25,367",3 years,3 - 4 years,New Zealand
"NZ$25,000",3 years,3 - 4 years,New Zealand
"NZ$25,000",3 years,3 - 4 years,New Zealand
"NZ$25,000",3 years,3 - 4 years,New Zealand
"NZ$25,000",3 years,3 - 4 years,New Zealand
"NZ$25,000",3 years,3 - 4 years,New Zealand
"NZ$25,000",3 years,3 - 4 years,New Zealand
"NZ$25,000",1 year,1 - 2 years,New Zealand
"NZ$25,000",2 years,2 - 3 years,New Zealand
"NZ$25,367",1 year,1 - 2 years,New Zealand
"NZ$25,367",1 year,1 - 2 years,New Zealand
"NZ$25,367",1 year,1 - 2 years,New Zealand
"NZ$30,000",2 years,2 - 3 years,New Zealand
"NZ$30,000",2 years,2 - 3 years,New Zealand
"NZ$25,367",1 year,1 - 2 years,New Zealand
"NZ$25,000",2 years,2 - 3 years,New Zealand
"NZ$25,377",2 years,2 - 3 years,New Zealand
"NZ$25,367",1 year,1 - 2 years,New Zealand
"NZ$25,367",1 year,1 - 2 years,New Zealand
"NZ$25,000",2 years,2 - 3 years,New Zealand
"NZ$9,000",16 weeks,0 - 1 year,New Zealand
"NZ$25,000",1 year,1 - 2 years,New Zealand
"NZ$38,750",FULL-TIME - 1.5 Years (Part-time options available),1 - 2 years,New Zealand
"NZ$27,500",FULL-TIME - 1 Year (Part-time options available),1 - 2 years,New Zealand
"NZ$27,500",FULL-TIME - 1 Year (Part-time options available),1 - 2 years,New Zealand
"NZ$25,000",3years,3 - 4 years,New Zealand
"NZ$25,000",FULL-TIME - 3 Years,3 - 4 years,New Zealand
"NZ$25,000",FULL-TIME - 3 Years,3 - 4 years,New Zealand
"NZ$25,000",FULL-TIME - 3 Years (Part-time options available),3 - 4 years,New Zealand
"NZ$25,000",FULL-TIME - 1 Year (Part-time options available),1 - 2 years,New Zealand
"NZ$25,000",3 Years,3 - 4 years,New Zealand
"NZ$25,000",3 Years,3 - 4 years,New Zealand
"NZ$25,000",3years,3 - 4 years,New Zealand
"NZ$25,000",3years,3 - 4 years,New Zealand
"NZ$25,000",1 Year,1 - 2 years,New Zealand
"NZ$25,000",3 Years,3 - 4 years,New Zealand
"NZ$25,000",FULL-TIME - 3 Years (Part-time options available),3 - 4 years,New Zealand
"NZ$25,000",FULL-TIME - 1 Year ,1 - 2 years,New Zealand
"NZ$25,000",FULL-TIME - 1 Year,1 - 2 years,New Zealand
"NZ$28,000",3years,3 - 4 years,New Zealand
"NZ$25,000",3year,3 - 4 years,New Zealand
"NZ$25,000",FULL-TIME - 3 Years,3 - 4 years,New Zealand
"NZ$25,000",3Years,3 - 4 years,New Zealand
"NZ$25,000",3Years,3 - 4 years,New Zealand
"NZ$28,000",3 Years,3 - 4 years,New Zealand
"NZ$28,000",3Years,3 - 4 years,New Zealand
"NZ$25,000",3 Years,3 - 4 years,New Zealand
"NZ$25,000",3 Years,3 - 4 years,New Zealand
"NZ$25,000",3 Years,3 - 4 years,New Zealand
"NZ$25,000",FULL-TIME - 1 Year (Part-time options available),1 - 2 years,New Zealand
"NZ$25,000",FULL-TIME - 3 Years,3 - 4 years,New Zealand
"NZ$25,000",Full TIme 1 Year,1 - 2 years,New Zealand
"NZ$25,000",FULL-TIME - 3 Years,3 - 4 years,New Zealand
"NZ$25,000",FULL-TIME - 3 Years,3 - 4 years,New Zealand
"NZ$28,000",FULL-TIME - 3 Years (Part-time options available),3 - 4 years,New Zealand
"NZ$25,000",FULL-TIME - 3 Years,3 - 4 years,New Zealand
"NZ$25,000",FULL-TIME - 3 Years (Part-time options available),3 - 4 years,New Zealand
"NZ$25,000",FULL-TIME - 3 Years (Part-time options available),3 - 4 years,New Zealand
"NZ$25,000",FULL-TIME - 3 Years,3 - 4 years,New Zealand
"NZ$25,000",FULL-TIME - 1 Year,1 - 2 years,New Zealand
"NZ$25,000",FULL-TIME - 3 Years,3 - 4 years,New Zealand
"NZ$25,000",FULL-TIME - 3 Years,3 - 4 years,New Zealand
"28,000 NZD (Approx amount of 14 lacs)",FULL-TIME - 3 Years,3 - 4 years,New Zealand
"NZ$25,000",FULL-TIME - 1 Year,1 - 2 years,New Zealand
"NZ$25,000",1Year,1 - 2 years,New Zealand
"NZ$25,000",FULL-TIME - 1 Year (Part-time options available),1 - 2 years,New Zealand
"NZ$25,000",1 Year,1 - 2 years,New Zealand
