Total Sum: NZ$25,000.00, original: NZ$ 25000
Total Sum: NZ$25,570.00, original: NZ$25,570
Total Sum: NZ$32,500.00, original: NZ$32,500
Total Sum: NZ$22,000.00, original: NZ$22,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$32,867.00, original: NZ$32,867
Total Sum: NZ$32,867.00, original: NZ$32,867
Total Sum: NZ$32,867.00, original: NZ$32,867
Total Sum: NZ$25,367.00, original: NZ$25,367
Total Sum: NZ$25,367.00, original: NZ$25,367
Total Sum: NZ$25,367.00, original: NZ$25,367
Total Sum: NZ$25,367.00, original: NZ$25,367
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$25,367.00, original: NZ$25,367
Total Sum: NZ$25,367.00, original: NZ$25,367
Total Sum: NZ$25,367.00, original: NZ$25,367
Total Sum: NZ$25,367.00, original: NZ$25,367
Total Sum: NZ$25,367.00, original: NZ$25,367
Total Sum: NZ$28,367.00, original: NZ$28,367
Total Sum: NZ$25,367.00, original: NZ$25,367
Total Sum: NZ$25,367.00, original: NZ$25,367
Total Sum: NZ$30,000.00, original: NZ$30,000
Total Sum: NZ$30,000.00, original: NZ$30,000
Total Sum: NZ$25,367.00, original: NZ$25,367
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$25,367.00, original: NZ$25,367
Total Sum: NZ$25,367.00, original: NZ$25,367
Total Sum: NZ$25,367.00, original: NZ$25,367
Total Sum: NZ$25,367.00, original: NZ$25,367
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$25,367.00, original: NZ$25,367
Total Sum: NZ$25,367.00, original: NZ$25,367
Total Sum: NZ$25,367.00, original: NZ$25,367
Total Sum: NZ$30,000.00, original: NZ$30,000
Total Sum: NZ$30,000.00, original: NZ$30,000
Total Sum: NZ$25,367.00, original: NZ$25,367
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$25,377.00, original: NZ$25,377
Total Sum: NZ$25,367.00, original: NZ$25,367
Total Sum: NZ$25,367.00, original: NZ$25,367
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$38,750.00, original: NZ$38,750
Total Sum: NZ$27,500.00, original: NZ$27,500
Total Sum: NZ$27,500.00, original: NZ$27,500
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$28,000.00, original: NZ$28,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$28,000.00, original: NZ$28,000
Total Sum: NZ$28,000.00, original: NZ$28,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$28,000.00, original: NZ$28,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$25,000.00, original: NZ$25,000
